Timestamp,Status,ResponseTime,Reply
2026-06-26 17:04:52,SUCCESS,289ms,Reply from 4.2.2.2: bytes=32 time=289ms TTL=50
2026-06-26 17:04:53,SUCCESS,275ms,Reply from 4.2.2.2: bytes=32 time=275ms TTL=50
2026-06-26 17:04:54,SUCCESS,263ms,Reply from 4.2.2.2: bytes=32 time=263ms TTL=50
2026-06-26 17:04:55,SUCCESS,273ms,Reply from 4.2.2.2: bytes=32 time=273ms TTL=50
2026-06-26 17:04:57,SUCCESS,265ms,Reply from 4.2.2.2: bytes=32 time=265ms TTL=50
2026-06-26 17:04:58,SUCCESS,268ms,Reply from 4.2.2.2: bytes=32 time=268ms TTL=50
2026-06-26 17:04:59,SUCCESS,308ms,Reply from 4.2.2.2: bytes=32 time=308ms TTL=50
2026-06-26 17:05:01,SUCCESS,276ms,Reply from 4.2.2.2: bytes=32 time=276ms TTL=50
2026-06-26 17:05:02,SUCCESS,269ms,Reply from 4.2.2.2: bytes=32 time=269ms TTL=50
2026-06-26 17:05:03,SUCCESS,276ms,Reply from 4.2.2.2: bytes=32 time=276ms TTL=50
2026-06-26 17:05:05,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:05:06,SUCCESS,276ms,Reply from 4.2.2.2: bytes=32 time=276ms TTL=50
2026-06-26 17:05:07,SUCCESS,280ms,Reply from 4.2.2.2: bytes=32 time=280ms TTL=50
2026-06-26 17:05:08,SUCCESS,280ms,Reply from 4.2.2.2: bytes=32 time=280ms TTL=50
2026-06-26 17:05:10,SUCCESS,272ms,Reply from 4.2.2.2: bytes=32 time=272ms TTL=50
2026-06-26 17:05:11,SUCCESS,296ms,Reply from 4.2.2.2: bytes=32 time=296ms TTL=50
2026-06-26 17:05:12,SUCCESS,280ms,Reply from 4.2.2.2: bytes=32 time=280ms TTL=50
2026-06-26 17:05:14,SUCCESS,270ms,Reply from 4.2.2.2: bytes=32 time=270ms TTL=50
2026-06-26 17:05:15,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:07:39,SUCCESS,6ms,Reply from 8.8.8.8: bytes=32 time=6ms TTL=117
2026-06-26 17:07:40,SUCCESS,6ms,Reply from 8.8.8.8: bytes=32 time=6ms TTL=117
2026-06-26 17:07:41,SUCCESS,6ms,Reply from 8.8.8.8: bytes=32 time=6ms TTL=117
2026-06-26 17:07:42,SUCCESS,6ms,Reply from 8.8.8.8: bytes=32 time=6ms TTL=117
2026-06-26 17:07:43,SUCCESS,6ms,Reply from 8.8.8.8: bytes=32 time=6ms TTL=117
2026-06-26 17:07:44,SUCCESS,8ms,Reply from 8.8.8.8: bytes=32 time=8ms TTL=117
2026-06-26 17:07:45,SUCCESS,6ms,Reply from 8.8.8.8: bytes=32 time=6ms TTL=117
2026-06-26 17:07:46,SUCCESS,5ms,Reply from 8.8.8.8: bytes=32 time=5ms TTL=117
2026-06-26 17:07:47,SUCCESS,9ms,Reply from 8.8.8.8: bytes=32 time=9ms TTL=117
2026-06-26 17:07:48,SUCCESS,8ms,Reply from 8.8.8.8: bytes=32 time=8ms TTL=117
2026-06-26 17:07:49,SUCCESS,5ms,Reply from 8.8.8.8: bytes=32 time=5ms TTL=117
2026-06-26 17:07:50,SUCCESS,5ms,Reply from 8.8.8.8: bytes=32 time=5ms TTL=117
2026-06-26 17:07:51,SUCCESS,6ms,Reply from 8.8.8.8: bytes=32 time=6ms TTL=117
2026-06-26 17:07:52,SUCCESS,6ms,Reply from 8.8.8.8: bytes=32 time=6ms TTL=117
2026-06-26 17:07:53,SUCCESS,5ms,Reply from 8.8.8.8: bytes=32 time=5ms TTL=117
2026-06-26 17:08:35,SUCCESS,6ms,Reply from 142.250.193.142: bytes=32 time=6ms TTL=117
2026-06-26 17:08:36,SUCCESS,6ms,Reply from 142.250.193.142: bytes=32 time=6ms TTL=117
2026-06-26 17:08:37,SUCCESS,5ms,Reply from 142.250.193.142: bytes=32 time=5ms TTL=117
2026-06-26 17:08:38,SUCCESS,5ms,Reply from 142.250.193.142: bytes=32 time=5ms TTL=117
2026-06-26 17:08:39,SUCCESS,5ms,Reply from 142.250.193.142: bytes=32 time=5ms TTL=117
2026-06-26 17:08:40,SUCCESS,6ms,Reply from 142.250.193.142: bytes=32 time=6ms TTL=117
2026-06-26 17:08:41,SUCCESS,6ms,Reply from 142.250.193.142: bytes=32 time=6ms TTL=117
2026-06-26 17:08:43,SUCCESS,7ms,Reply from 142.250.193.142: bytes=32 time=7ms TTL=117
2026-06-26 17:08:44,SUCCESS,17ms,Reply from 142.250.193.142: bytes=32 time=17ms TTL=117
2026-06-26 17:08:45,SUCCESS,6ms,Reply from 142.250.193.142: bytes=32 time=6ms TTL=117
2026-06-26 17:08:46,SUCCESS,6ms,Reply from 142.250.193.142: bytes=32 time=6ms TTL=117
2026-06-26 17:08:47,SUCCESS,6ms,Reply from 142.250.193.142: bytes=32 time=6ms TTL=117
2026-06-26 17:08:48,SUCCESS,6ms,Reply from 142.250.193.142: bytes=32 time=6ms TTL=117
2026-06-26 17:08:49,SUCCESS,9ms,Reply from 142.250.193.142: bytes=32 time=9ms TTL=117
2026-06-26 17:08:50,SUCCESS,26ms,Reply from 142.250.193.142: bytes=32 time=26ms TTL=117
2026-06-26 17:08:51,SUCCESS,55ms,Reply from 142.250.193.142: bytes=32 time=55ms TTL=117
2026-06-26 17:08:52,SUCCESS,6ms,Reply from 142.250.193.142: bytes=32 time=6ms TTL=117
2026-06-26 17:08:53,SUCCESS,9ms,Reply from 142.250.193.142: bytes=32 time=9ms TTL=117
2026-06-26 17:08:54,SUCCESS,6ms,Reply from 142.250.193.142: bytes=32 time=6ms TTL=117
2026-06-26 17:08:55,SUCCESS,6ms,Reply from 142.250.193.142: bytes=32 time=6ms TTL=117
2026-06-26 17:08:56,SUCCESS,5ms,Reply from 142.250.193.142: bytes=32 time=5ms TTL=117
2026-06-26 17:08:57,SUCCESS,5ms,Reply from 142.250.193.142: bytes=32 time=5ms TTL=117
2026-06-26 17:08:58,SUCCESS,5ms,Reply from 142.250.193.142: bytes=32 time=5ms TTL=117
2026-06-26 17:10:53,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:10:56,SUCCESS,255ms,Reply from 4.2.2.2: bytes=32 time=255ms TTL=50
2026-06-26 17:11:00,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:11:03,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:11:06,SUCCESS,263ms,Reply from 4.2.2.2: bytes=32 time=263ms TTL=50
2026-06-26 17:11:09,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:11:13,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:11:16,SUCCESS,266ms,Reply from 4.2.2.2: bytes=32 time=266ms TTL=50
2026-06-26 17:11:22,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:11:52,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:17:02,SUCCESS,253ms,Reply from 4.2.2.2: bytes=32 time=253ms TTL=50
2026-06-26 17:17:03,SUCCESS,255ms,Reply from 4.2.2.2: bytes=32 time=255ms TTL=50
2026-06-26 17:17:05,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:17:06,SUCCESS,254ms,Reply from 4.2.2.2: bytes=32 time=254ms TTL=50
2026-06-26 17:17:07,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:17:08,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:17:10,SUCCESS,255ms,Reply from 4.2.2.2: bytes=32 time=255ms TTL=50
2026-06-26 17:17:11,SUCCESS,271ms,Reply from 4.2.2.2: bytes=32 time=271ms TTL=50
2026-06-26 17:17:12,SUCCESS,262ms,Reply from 4.2.2.2: bytes=32 time=262ms TTL=50
2026-06-26 17:17:14,SUCCESS,254ms,Reply from 4.2.2.2: bytes=32 time=254ms TTL=50
2026-06-26 17:17:15,SUCCESS,253ms,Reply from 4.2.2.2: bytes=32 time=253ms TTL=50
2026-06-26 17:17:16,SUCCESS,253ms,Reply from 4.2.2.2: bytes=32 time=253ms TTL=50
2026-06-26 17:17:17,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:17:19,SUCCESS,263ms,Reply from 4.2.2.2: bytes=32 time=263ms TTL=50
2026-06-26 17:17:20,SUCCESS,254ms,Reply from 4.2.2.2: bytes=32 time=254ms TTL=50
2026-06-26 17:43:01,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:43:03,SUCCESS,254ms,Reply from 4.2.2.2: bytes=32 time=254ms TTL=50
2026-06-26 17:43:04,SUCCESS,254ms,Reply from 4.2.2.2: bytes=32 time=254ms TTL=50
2026-06-26 17:43:05,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:43:07,SUCCESS,255ms,Reply from 4.2.2.2: bytes=32 time=255ms TTL=50
2026-06-26 17:43:08,SUCCESS,258ms,Reply from 4.2.2.2: bytes=32 time=258ms TTL=50
2026-06-26 17:43:09,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:43:10,SUCCESS,256ms,Reply from 4.2.2.2: bytes=32 time=256ms TTL=50
2026-06-26 17:43:12,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:43:13,SUCCESS,254ms,Reply from 4.2.2.2: bytes=32 time=254ms TTL=50
2026-06-26 17:43:14,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
