Timestamp,Status,ResponseTime,Reply
2026-06-26 17:35:48,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:35:49,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:35:51,SUCCESS,258ms,Reply from 4.2.2.2: bytes=32 time=258ms TTL=50
2026-06-26 17:35:52,SUCCESS,253ms,Reply from 4.2.2.2: bytes=32 time=253ms TTL=50
2026-06-26 17:35:54,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:35:55,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:35:56,SUCCESS,253ms,Reply from 4.2.2.2: bytes=32 time=253ms TTL=50
2026-06-26 17:35:58,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:35:59,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:36:00,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:36:02,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:36:03,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:36:05,SUCCESS,253ms,Reply from 4.2.2.2: bytes=32 time=253ms TTL=50
2026-06-26 17:36:06,SUCCESS,269ms,Reply from 4.2.2.2: bytes=32 time=269ms TTL=50
2026-06-26 17:38:38,SUCCESS,254ms,Reply from 4.2.2.2: bytes=32 time=254ms TTL=50
2026-06-26 17:38:40,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:38:41,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:38:42,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:38:44,SUCCESS,253ms,Reply from 4.2.2.2: bytes=32 time=253ms TTL=50
2026-06-26 17:38:45,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:42:15,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:42:16,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:42:17,SUCCESS,250ms,Reply from 4.2.2.2: bytes=32 time=250ms TTL=50
2026-06-26 17:42:19,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:42:20,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:42:21,SUCCESS,250ms,Reply from 4.2.2.2: bytes=32 time=250ms TTL=50
2026-06-26 17:42:23,SUCCESS,254ms,Reply from 4.2.2.2: bytes=32 time=254ms TTL=50
2026-06-26 17:42:24,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:42:26,SUCCESS,253ms,Reply from 4.2.2.2: bytes=32 time=253ms TTL=50
2026-06-26 17:42:27,SUCCESS,254ms,Reply from 4.2.2.2: bytes=32 time=254ms TTL=50
2026-06-26 17:42:28,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:42:30,SUCCESS,276ms,Reply from 4.2.2.2: bytes=32 time=276ms TTL=50
2026-06-26 17:42:32,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
